grade strategy,selection,crossover,mutation,x,y,best,mean,std,all params
max,random,one_point,gaussian,-31.57084159,341.411575,140018.6918,39993.90704,31661.26958,"Grade strategy: max, Selection: random, Crossover: one_point, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,random,uniform,gaussian,-39.8236462,332.6999462,139665.6618,33650.91616,29455.77525,"Grade strategy: max, Selection: random, Crossover: uniform, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,roulette,arithmetic,gaussian,305.5122098,-46.81541982,123561.3366,96301.51756,6568.804478,"Grade strategy: max, Selection: roulette, Crossover: arithmetic, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,random,arithmetic,gaussian,8.073960531,147.8785151,19902.99564,5005.296644,1574.925893,"Grade strategy: max, Selection: random, Crossover: arithmetic, Mutation: gaussian, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,worst,one_point,shuffle_indexes,-2.983931349,3.980512355,64.77027281,30.73413746,25.11698412,"Grade strategy: max, Selection: worst, Crossover: one_point, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,stochastic_universal_sampling,one_point,shuffle_indexes,-2.960173819,3.987631014,64.53731739,58.59144002,12.13435484,"Grade strategy: max, Selection: stochastic_universal_sampling, Crossover: one_point, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,worst,uniform,shuffle_indexes,-2.964854783,3.978572545,64.45369991,32.18031845,25.5005336,"Grade strategy: max, Selection: worst, Crossover: uniform, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,best,uniform,shuffle_indexes,-2.952036903,3.985118327,64.37385516,30.03317065,24.77276955,"Grade strategy: max, Selection: best, Crossover: uniform, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,roulette,uniform,shuffle_indexes,-2.937264485,3.966904905,63.84782777,58.06839,14.51352023,"Grade strategy: max, Selection: roulette, Crossover: uniform, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
max,best,one_point,shuffle_indexes,-2.891003861,3.999507212,63.70944885,32.3546639,25.79230033,"Grade strategy: max, Selection: best, Crossover: one_point, Mutation: shuffle_indexes, Size population: 100, Probability mutation: 0.2, Probability crossover: 0.8, Number iteration: 150 "
